Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,market_cap,total_volume
1.55183E+12,06-03-19,ETHUSDT,136.71,140.29,133.33,137.4,428826.8742,58701328.65,136000,,
1.55174E+12,05-03-19,ETHUSDT,125.68,137.84,125.19,136.72,512631.2318,67740644.33,155818,,
1.55166E+12,04-03-19,ETHUSDT,130.6,131.11,122.6,125.65,403947.7945,51060349.77,140132,,
1.55157E+12,03-03-19,ETHUSDT,132.54,134.6,128.01,130.6,222453.2859,29447917.24,86648,,
1.55148E+12,02-03-19,ETHUSDT,135.32,136.12,130.03,132.56,297005.2809,39467507.69,113241,,
1.5514E+12,01-03-19,ETHUSDT,135.32,137.95,134.9,135.32,302632.0283,41198722.58,103403,,
1.55131E+12,28-02-19,ETHUSDT,135.03,139,132.1,135.34,579327.3175,78861797.56,183737,,
1.55123E+12,27-02-19,ETHUSDT,136.22,140.29,126.84,135.02,567202.6104,76519497.91,158709,,
1.55114E+12,26-02-19,ETHUSDT,137.88,138.41,133.72,136.22,432944.1703,58979934.72,145787,,
1.55105E+12,25-02-19,ETHUSDT,132.1,141.55,131.89,137.87,801147.0954,110348893,243536,,
1.55097E+12,24-02-19,ETHUSDT,157.75,166,131.7,132.1,1260506.807,186688063.4,351943,,
1.55088E+12,23-02-19,ETHUSDT,147.4,159.6,145.78,157.79,588183.729,89997516.92,172084,,
1.55079E+12,22-02-19,ETHUSDT,145.68,148.85,143.85,147.36,366251.1854,53771600.8,129247,,
1.55071E+12,21-02-19,ETHUSDT,148.42,149.61,142.7,145.69,447364.4087,65199779.51,148898,,
1.55062E+12,20-02-19,ETHUSDT,143.45,149.52,139.6,148.44,614303.6101,89136482.37,191505,,
1.55053E+12,19-02-19,ETHUSDT,145.69,150,142.36,143.44,747968.9045,109645050.5,232384,,
1.55045E+12,18-02-19,ETHUSDT,133.77,148.3,132.42,145.69,1079830.15,152756654.6,299772,,
1.55036E+12,17-02-19,ETHUSDT,122.67,135.61,122.43,133.75,614788.6008,78958054.96,162769,,
1.55028E+12,16-02-19,ETHUSDT,121.66,124.99,121.54,122.67,215320.7013,26462034.61,84959,,
1.55019E+12,15-02-19,ETHUSDT,120.47,124.25,120.19,121.67,255296.0814,31111280.21,100464,,
1.5501E+12,14-02-19,ETHUSDT,121.86,124.5,120.1,120.42,297205.7874,36278326.08,101574,,
1.55002E+12,13-02-19,ETHUSDT,122.4,126.47,120.7,121.86,317827.3196,39073077.84,122122,,
1.54993E+12,12-02-19,ETHUSDT,120.88,123.89,118.18,122.41,343765.6699,41603632.81,114396,,
1.54984E+12,11-02-19,ETHUSDT,125.12,125.28,119.24,120.89,389405.304,47197595.85,129000,,
1.54976E+12,10-02-19,ETHUSDT,119.19,126.49,115.81,125.12,385819.0962,45929459.13,146060,,
1.54967E+12,09-02-19,ETHUSDT,119.32,121.99,117.64,119.19,328067.9574,39061582.39,118457,,
1.54958E+12,08-02-19,ETHUSDT,104.48,123,103.41,119.25,589950.6493,67027886.94,177364,,
1.5495E+12,07-02-19,ETHUSDT,104.49,106.18,103.82,104.48,147942.0768,15530160.65,68959,,
1.54941E+12,06-02-19,ETHUSDT,107.28,107.83,101.21,104.5,337204.3025,34984364.3,113955,,
1.54932E+12,05-02-19,ETHUSDT,107.65,108.18,106.47,107.27,159730.1886,17137008.25,68422,,
1.54924E+12,04-02-19,ETHUSDT,107.33,109.3,106.57,107.68,160850.1029,17312736.6,65698,,
1.54915E+12,03-02-19,ETHUSDT,110.41,111.11,105.82,107.36,227211.5406,24605892.29,78309,,
1.54907E+12,02-02-19,ETHUSDT,106.71,111.15,106.07,110.42,186908.7573,20153872.3,67351,,
1.54898E+12,01-02-19,ETHUSDT,106.47,108.35,103.77,106.73,243149.8844,25791535.15,86314,,
1.54889E+12,31-01-19,ETHUSDT,108.29,110.61,105.46,106.44,290679.6194,31234353.52,102532,,
1.54881E+12,30-01-19,ETHUSDT,104.41,109.8,103.45,108.29,330968.1927,35368520.14,118866,,
1.54872E+12,29-01-19,ETHUSDT,105.49,106.61,102.22,104.45,319768.9135,33427469.35,129221,,
1.54863E+12,28-01-19,ETHUSDT,112.04,112.87,100.91,105.5,566205.7829,60050129.39,177547,,
1.54855E+12,27-01-19,ETHUSDT,115.32,116.15,111.04,112.05,247369.6056,28158012.73,97152,,
1.54846E+12,26-01-19,ETHUSDT,115.13,118,115,115.34,146216.8282,16978386.2,68368,,
1.54837E+12,25-01-19,ETHUSDT,116.4,117.5,114.3,115.11,198617.0811,22977175.95,85660,,
1.54829E+12,24-01-19,ETHUSDT,116.4,117.15,113.61,116.39,216242.2983,25044265.75,90622,,
1.5482E+12,23-01-19,ETHUSDT,117.8,118.95,114.8,116.44,230247.6158,26975386.39,102993,,
1.54812E+12,22-01-19,ETHUSDT,115.62,119.49,111.39,117.81,359542.6387,41777737.47,134797,,
1.54803E+12,21-01-19,ETHUSDT,117.56,118.5,113.61,115.63,303632.9346,35258073.43,119538,,
1.54794E+12,20-01-19,ETHUSDT,122.61,123.32,115.68,117.47,451792.8535,53833668.91,164941,,
1.54786E+12,19-01-19,ETHUSDT,119.16,125.29,119.14,122.6,323303.793,39715159.16,117187,,
1.54777E+12,18-01-19,ETHUSDT,121.56,121.98,117.66,119.17,235646.684,28305971.67,112833,,
1.54768E+12,17-01-19,ETHUSDT,121.49,122.99,116.8,121.54,447535.2272,53854069.21,169098,,
1.5476E+12,16-01-19,ETHUSDT,118.93,126.88,118.52,121.48,513486.6547,62314226,192912,,
1.54751E+12,15-01-19,ETHUSDT,126.95,129.4,116,118.95,649020.5297,79985529.56,200989,,
1.54742E+12,14-01-19,ETHUSDT,114.17,130.05,113.94,126.95,546420.4085,66801543.31,181074,,
1.54734E+12,13-01-19,ETHUSDT,123.35,124.25,111.87,114.16,422561.9678,49521201.28,137005,,
1.54725E+12,12-01-19,ETHUSDT,124.67,126.19,122,123.35,300262.134,37295866.35,122024,,
1.54716E+12,11-01-19,ETHUSDT,124.96,127.36,120.08,124.65,545293.9837,67782816.34,197047,,
1.54708E+12,10-01-19,ETHUSDT,148.11,149.45,121,124.95,871751.7504,114437025.3,290765,,
1.54699E+12,09-01-19,ETHUSDT,147.62,151.5,146.77,148.1,299443.563,44673066.39,125358,,
1.54691E+12,08-01-19,ETHUSDT,149.29,151.65,145.2,147.6,441661.0678,65535529.76,170585,,
1.54682E+12,07-01-19,ETHUSDT,153.89,155.48,147.86,149.34,424765.3026,64310962.92,157568,,
1.54673E+12,06-01-19,ETHUSDT,152.83,157.4,147.51,153.86,627908.4737,95681339.46,204337,,
1.54665E+12,05-01-19,ETHUSDT,152.08,159.26,151.2,152.83,773169.1374,120238339.8,231172,,
1.54656E+12,04-01-19,ETHUSDT,146.3,154.8,143.54,151.97,805248.9382,120827141.5,224385,,
1.54647E+12,03-01-19,ETHUSDT,152.01,153.64,143.11,146.3,708091.3171,104953535.1,206600,,
1.54639E+12,02-01-19,ETHUSDT,139.1,155.37,137.76,152.01,941486.3152,138801471.1,253070,,
1.5463E+12,01-01-19,ETHUSDT,131.45,140.67,130,139.1,401776.888,54280385.6,125799,,
1.54621E+12,31-12-18,ETHUSDT,137.81,138.66,128.7,131.45,484604.8396,64763118.12,157669,,
1.54613E+12,30-12-18,ETHUSDT,133,139,127.03,137.77,704259.4161,94804050.49,232606,,
1.54604E+12,29-12-18,ETHUSDT,135.3,145.42,128.5,132.89,1006654.498,136479145.9,291165,,
1.54596E+12,28-12-18,ETHUSDT,113.75,136.66,111.87,135.3,894454.1905,111865576.5,248671,,
1.54587E+12,27-12-18,ETHUSDT,129.35,131.09,111.22,113.8,752177.9011,90456912.89,230428,,
1.54578E+12,26-12-18,ETHUSDT,127.61,135.32,122.51,129.35,794834.056,102196717.4,258222,,
1.5457E+12,25-12-18,ETHUSDT,138.01,139.26,119.68,127.6,1076164.128,136600862,328349,,
1.54561E+12,24-12-18,ETHUSDT,129.03,157.67,128.8,138.03,1319609.817,190137361.1,426763,,
1.54552E+12,23-12-18,ETHUSDT,115.18,131.94,114.91,129.03,936094.1049,118250392.6,302293,,
1.54544E+12,22-12-18,ETHUSDT,107.67,115.5,105.38,115.2,405672.8312,44814571.61,159158,,
1.54535E+12,21-12-18,ETHUSDT,113.71,118,104.76,107.69,666048.7179,74510414.59,242389,,
1.54526E+12,20-12-18,ETHUSDT,98.73,116,97.88,114.05,859612.5721,93128082.55,272100,,
1.54518E+12,19-12-18,ETHUSDT,100.39,107.55,97.75,98.74,827748.591,84862730.23,258340,,
1.54509E+12,18-12-18,ETHUSDT,94.03,101.3,91.34,100.39,529946.7918,50202945.79,173951,,
1.545E+12,17-12-18,ETHUSDT,84.68,97,84.4,94.02,472252.2339,42965553.42,156319,,
1.54492E+12,16-12-18,ETHUSDT,83.75,87.64,83.73,84.67,241366.7631,20783723.69,78098,,
1.54483E+12,15-12-18,ETHUSDT,83.82,85,81.79,83.76,217360.6578,18169124,83696,,
1.54475E+12,14-12-18,ETHUSDT,86.35,87.25,82.2,83.82,318003.7343,27041687.8,102917,,
1.54466E+12,13-12-18,ETHUSDT,89.39,90.71,84.71,86.34,331218.3008,29089359.83,94842,,
1.54457E+12,12-12-18,ETHUSDT,87.77,91.31,86.63,89.41,285436.0403,25500398.93,86407,,
1.54449E+12,11-12-18,ETHUSDT,89.88,91.65,85.83,87.76,339991.8425,30055007.22,104079,,
1.5444E+12,10-12-18,ETHUSDT,93.26,95.21,88.11,89.91,408573.0293,37180525.46,119278,,
1.54431E+12,09-12-18,ETHUSDT,90.39,98.7,88.63,93.26,520519.3602,48533111.85,158700,,
1.54423E+12,08-12-18,ETHUSDT,93.06,98,84.55,90.38,698217.1253,63224518.55,228982,,
1.54414E+12,07-12-18,ETHUSDT,91.18,96.9,82.07,93.05,1030073.585,90499447.34,307599,,
1.54405E+12,06-12-18,ETHUSDT,102.73,104.68,90.2,91,586138.5904,58114721.75,188007,,
1.54397E+12,05-12-18,ETHUSDT,109.92,110.58,102.38,102.71,354071.5324,37519336.07,111602,,
1.54388E+12,04-12-18,ETHUSDT,108.76,113.2,106,109.94,275321.0063,30365546.75,111872,,
1.5438E+12,03-12-18,ETHUSDT,116.63,116.96,106.7,108.76,324446.0332,36185196.19,115448,,
1.54371E+12,02-12-18,ETHUSDT,118.09,120.73,116,116.57,273657.6215,32184013.76,102151,,
1.54362E+12,01-12-18,ETHUSDT,113.71,120.8,111.35,118.1,330159.0674,38614493.63,122161,,
1.54354E+12,30-11-18,ETHUSDT,117.99,120.26,111.09,113.73,418593.6353,48362085.78,153866,,
1.54345E+12,29-11-18,ETHUSDT,122.88,124,114.78,117.98,478777.3961,57140533.57,180848,,
1.54336E+12,28-11-18,ETHUSDT,111.38,126.8,111.37,122.9,578552.7412,68485222.44,195923,,
1.54328E+12,27-11-18,ETHUSDT,110.66,114.31,102.36,111.43,524024.4062,56638056.01,179214,,
1.54319E+12,26-11-18,ETHUSDT,118.65,121.5,106.41,110.68,679477.3623,77209761.83,224339,,
1.5431E+12,25-11-18,ETHUSDT,114.83,122.35,102.95,118.67,836233.3125,93723314.12,264902,,
1.54302E+12,24-11-18,ETHUSDT,125,130.81,112.32,114.89,471321.5676,57264800.07,153585,,
1.54293E+12,23-11-18,ETHUSDT,126.58,128.9,118.56,125.02,504352.2439,62657024.05,166040,,
1.54284E+12,22-11-18,ETHUSDT,138.36,140.4,125.64,126.63,334674.0719,44837388.45,117670,,
1.54276E+12,21-11-18,ETHUSDT,133.68,142.01,127.15,138.23,718957.7855,97819681.49,246564,,
1.54267E+12,20-11-18,ETHUSDT,150.76,154.7,126.95,133.82,996552.2872,139191208.5,357568,,
1.54259E+12,19-11-18,ETHUSDT,179.04,179.33,146.47,150.81,596789.8392,94639227.03,224184,,
1.5425E+12,18-11-18,ETHUSDT,176.2,182.94,176.1,178.97,141736.3226,25261184.09,68702,,
1.54241E+12,17-11-18,ETHUSDT,176.93,177.91,173.94,176.2,144804.7099,25452515.64,77570,,
1.54233E+12,16-11-18,ETHUSDT,184.35,185,173,176.89,241710.3476,43450649.95,120635,,
1.54224E+12,15-11-18,ETHUSDT,187.43,190,170.99,184.35,452416.1078,81674273.89,212442,,
1.54215E+12,14-11-18,ETHUSDT,209.84,210.3,176.16,187.43,434676.1683,82531353.98,187653,,
1.54207E+12,13-11-18,ETHUSDT,212.91,213.8,209.2,209.84,114466.3671,24176049.61,65826,,
1.54198E+12,12-11-18,ETHUSDT,212.6,214.22,210.9,212.89,99963.97203,21271725.18,52826,,
1.54189E+12,11-11-18,ETHUSDT,213.27,213.99,209,212.54,136268.8116,28875079.88,66072,,
1.54181E+12,10-11-18,ETHUSDT,210.78,215.55,209.02,213.25,131384.4789,28019225.01,66005,,
1.54172E+12,09-11-18,ETHUSDT,212.79,215.51,209.1,210.77,152215.9469,32309082.2,72814,,
1.54164E+12,08-11-18,ETHUSDT,219.06,220.78,212.49,212.79,189828.4945,40931506.15,93113,,
1.54155E+12,07-11-18,ETHUSDT,220.77,224.8,217.01,219.07,204931.0342,45252424.09,105883,,
1.54146E+12,06-11-18,ETHUSDT,210.64,221.25,209.11,220.74,197797.4953,42534535.86,110906,,
1.54138E+12,05-11-18,ETHUSDT,212.13,213.39,207.62,210.66,141432.1406,29714567.41,81531,,
1.54129E+12,04-11-18,ETHUSDT,200.27,218.76,199,212.11,182534.6216,37959621.57,112393,,
1.5412E+12,03-11-18,ETHUSDT,202.31,202.69,198.59,200.31,72084.92932,14456528.38,46801,,
1.54112E+12,02-11-18,ETHUSDT,199.93,203.74,199.34,202.35,97123.22813,19559214.42,61401,,
1.54103E+12,01-11-18,ETHUSDT,198.7,200.95,197.88,199.96,86097.98629,17116621.54,53873,,
1.54094E+12,31-10-18,ETHUSDT,197.24,201.45,193.01,198.73,114739.7042,22632315.26,68261,,
1.54086E+12,30-10-18,ETHUSDT,196.95,198.6,195.91,197.27,83633.81463,16501372.86,56433,,
1.54077E+12,29-10-18,ETHUSDT,204.99,205.49,195.28,196.96,118281.8227,23671711.39,70893,,
1.54068E+12,28-10-18,ETHUSDT,204.45,205.94,203.62,204.99,44394.83357,9084565.916,37134,,
1.5406E+12,27-10-18,ETHUSDT,204.92,206.15,203.09,204.45,50235.68329,10280846.41,52419,,
1.54051E+12,26-10-18,ETHUSDT,203.84,209,203,204.92,91143.83291,18707018.78,49864,,
1.54043E+12,25-10-18,ETHUSDT,205.35,205.94,202.88,203.93,77411.57217,15820355.2,37923,,
1.54034E+12,24-10-18,ETHUSDT,205.85,207.95,204.73,205.35,97128.82698,20049428.2,47453,,
1.54025E+12,23-10-18,ETHUSDT,206.67,207.8,202.14,205.85,112753.0414,23146110,50937,,
1.54017E+12,22-10-18,ETHUSDT,207.46,209.3,205,206.67,206046.8996,42711588.92,72089,,
1.54008E+12,21-10-18,ETHUSDT,207.91,211.99,206.74,207.49,83277.36128,17462109.69,40862,,
1.53999E+12,20-10-18,ETHUSDT,205.1,209.69,203.57,207.91,62376.6968,12936322.34,34666,,
1.53991E+12,19-10-18,ETHUSDT,206.25,208,204.21,205,254660.4864,52458006.51,84457,,
1.53982E+12,18-10-18,ETHUSDT,212.9,215.3,203.53,206.24,150229.601,31567845.72,85942,,
1.53973E+12,17-10-18,ETHUSDT,215.2,216.99,210,212.85,153768.8502,32834161.52,75663,,
1.53965E+12,16-10-18,ETHUSDT,214.39,219.95,211.55,215.09,145980.0984,31315676.32,83944,,
1.53956E+12,15-10-18,ETHUSDT,196.84,239,194.6,214.39,973857.7477,212166629.6,298845,,
1.53948E+12,14-10-18,ETHUSDT,201.39,203.56,194.33,197.01,110554.1936,22180535.07,37339,,
1.53939E+12,13-10-18,ETHUSDT,196.96,202.78,196.27,201.3,107215.5262,21498264.31,45954,,
1.5393E+12,12-10-18,ETHUSDT,191.55,201.87,190.04,196.96,216448.3922,42627353.08,90790,,
1.53922E+12,11-10-18,ETHUSDT,226.7,226.91,189.01,191.58,497258.8287,101069066.8,189200,,
1.53913E+12,10-10-18,ETHUSDT,228.4,228.78,224.05,226.74,122748.2141,27773272.16,54578,,
1.53904E+12,09-10-18,ETHUSDT,230.01,231.02,226.56,228.4,100246.1843,22933859.79,42266,,
1.53896E+12,08-10-18,ETHUSDT,226.26,232.7,224.21,230.01,210989.422,48017160.06,77786,,
1.53887E+12,07-10-18,ETHUSDT,225.39,227.75,221.48,226.14,74733.67253,16774573.69,29693,,
1.53878E+12,06-10-18,ETHUSDT,228.36,228.86,223.15,225.4,100257.5697,22656352.82,35875,,
1.5387E+12,05-10-18,ETHUSDT,222.66,231.75,219.35,228.37,137730.3579,30900558.88,54454,,
